filename,width,height,class,xmin,ymin,xmax,ymax
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,SKILL,63,28,82,77
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,DB,110,35,126,85
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,DB,113,134,124,199
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,SKILL,7,158,22,202
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,DB,282,166,298,236
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,LB,103,182,116,256
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,C,0,207,5,253
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,LB,70,216,89,286
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,DB,133,267,147,313
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,LB,512,71,527,125
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,C,426,94,445,138
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,LB,498,155,513,205
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,SKILL,373,171,395,220
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,DB,471,228,482,286
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,SKILL,371,230,382,290
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,SKILL,21,406,38,439
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,LB,146,413,169,474
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,QB,22,432,38,504
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,C,109,459,131,511
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,DB,133,522,154,576
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,SKILL,49,589,69,640
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,SKILL,81,625,101,640
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,DB,392,321,402,370
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,LB,375,443,387,481
Capture166_PNG.rf.76e1db6b6ba69aa37ff0506cdd2284d1.jpg,640,640,LB,371,479,386,528
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,DB,112,33,123,87
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,DB,168,177,181,237
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,LB,37,196,46,254
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,LB,20,274,31,300
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,DB,347,161,363,234
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,SKILL,250,197,272,225
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,LB,299,211,320,268
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,DB,558,253,577,300
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,LB,337,255,354,300
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,SKILL,308,44,336,108
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,DB,479,66,494,128
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,DB,16,314,32,383
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,LB,193,446,207,526
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,LB,178,525,190,605
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,LB,548,381,559,425
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,SKILL,399,384,407,422
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,LB,518,530,529,571
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,SKILL,595,381,606,424
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,DB,358,525,371,577
Capture231_PNG.rf.781d91a8e2dab62e97e2d53ccef71c5f.jpg,640,640,SKILL,353,550,362,592
